movieId,title,genres,item_idx
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,0
2,Jumanji (1995),Adventure|Children|Fantasy,1
3,Grumpier Old Men (1995),Comedy|Romance,2
4,Waiting to Exhale (1995),Comedy|Drama|Romance,3
5,Father of the Bride Part II (1995),Comedy,4
6,Heat (1995),Action|Crime|Thriller,5
7,Sabrina (1995),Comedy|Romance,6
8,Tom and Huck (1995),Adventure|Children,7
9,Sudden Death (1995),Action,8
10,GoldenEye (1995),Action|Adventure|Thriller,9
11,"American President, The (1995)",Comedy|Drama|Romance,10
12,Dracula: Dead and Loving It (1995),Comedy|Horror,11
13,Balto (1995),Adventure|Animation|Children,12
14,Nixon (1995),Drama,13
15,Cutthroat Island (1995),Action|Adventure|Romance,14
16,Casino (1995),Crime|Drama,15
17,Sense and Sensibility (1995),Drama|Romance,16
18,Four Rooms (1995),Comedy,17
19,Ace Ventura: When Nature Calls (1995),Comedy,18
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,19
21,Get Shorty (1995),Comedy|Crime|Thriller,20
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,21
23,Assassins (1995),Action|Crime|Thriller,22
24,Powder (1995),Drama|Sci-Fi,23
25,Leaving Las Vegas (1995),Drama|Romance,24
26,Othello (1995),Drama,25
27,Now and Then (1995),Children|Drama,26
28,Persuasion (1995),Drama|Romance,27
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,28
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,29
31,Dangerous Minds (1995),Drama,30
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,31
33,Wings of Courage (1995),Adventure|Romance|IMAX,32
34,Babe (1995),Children|Drama,33
35,Carrington (1995),Drama|Romance,34
36,Dead Man Walking (1995),Crime|Drama,35
37,Across the Sea of Time (1995),Documentary|IMAX,36
38,It Takes Two (1995),Children|Comedy,37
39,Clueless (1995),Comedy|Romance,38
40,"Cry, the Beloved Country (1995)",Drama,39
41,Richard III (1995),Drama|War,40
42,Dead Presidents (1995),Action|Crime|Drama,41
43,Restoration (1995),Drama,42
44,Mortal Kombat (1995),Action|Adventure|Fantasy,43
45,To Die For (1995),Comedy|Drama|Thriller,44
46,How to Make an American Quilt (1995),Drama|Romance,45
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,46
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,47
49,When Night Is Falling (1995),Drama|Romance,48
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,49
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,50
53,Lamerica (1994),Adventure|Drama,51
54,"Big Green, The (1995)",Children|Comedy,52
55,Georgia (1995),Drama,53
57,Home for the Holidays (1995),Drama,54
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,55
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,56
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,57
61,Eye for an Eye (1996),Drama|Thriller,58
62,Mr. Holland's Opus (1995),Drama,59
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,60
64,Two if by Sea (1996),Comedy|Romance,61
65,Bio-Dome (1996),Comedy,62
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,63
67,Two Bits (1995),Drama,64
68,French Twist (Gazon maudit) (1995),Comedy|Romance,65
69,Friday (1995),Comedy,66
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,67
71,Fair Game (1995),Action,68
72,Kicking and Screaming (1995),Comedy|Drama,69
73,"Misérables, Les (1995)",Drama|War,70
74,Bed of Roses (1996),Drama|Romance,71
75,Big Bully (1996),Comedy|Drama,72
76,Screamers (1995),Action|Sci-Fi|Thriller,73
77,Nico Icon (1995),Documentary,74
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,75
