,Recall@10,Recall@20,NDCG@10,NDCG@20,Precision@10,HitRate@10,Coverage,Novelty
Stacked,0.07956,0.13878,0.064960185,0.090148162,0.03978,0.307599992,0.31263401,10.10075569
EASE,0.06856,0.11546,0.057350194,0.077319605,0.03428,0.272199988,0.125103084,9.370674133
AdaptiveHybrid,0.06856,0.11552,0.057314515,0.077303088,0.03428,0.260500014,0.088652482,8.873534203
Hybrid,0.0685,0.11512,0.057104011,0.076955291,0.03425,0.260600001,0.088570015,8.874168396
Ensemble,0.06852,0.115,0.057009633,0.076801456,0.03426,0.260500014,0.087827808,8.87607193
ItemKNN,0.05906,0.10328,0.048937752,0.067780357,0.02953,0.225700006,0.055665512,8.752248764
LightGCN,0.05236,0.09134,0.042382283,0.058935455,0.02618,0.197899997,0.028863599,8.357066154
PureSVD,0.0494,0.08338,0.040629352,0.055050198,0.0247,0.206100002,0.106300511,10.65565014
Popularity,0.0436,0.07534,0.036357879,0.049841772,0.0218,0.172700003,0.008246743,7.989437103
Content,0.03264,0.0532,0.026988037,0.035729961,0.01632,0.144199997,0.222579581,11.53072643
Content-FT,0.03264,0.0532,0.026988037,0.035729961,0.01632,0.144199997,0.222579581,11.53072643
SASRec,0.02578,0.04514,0.020550315,0.02875897,0.01289,0.103200004,0.48111496,11.14167213
